BOROUGH,ZIP_CODE,RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE,max_temp_celsius,season
4,11362,1,1811.00,1955,1,A0,950000.00,2017-08-17,,summer
4,11362,1,1817.00,1950,1,A0,1150000.00,2017-08-23,,summer
4,11365,1,1824.00,1945,1,A0,955000.00,2016-09-15,,summer
4,11420,1,1888.00,1930,1,A0,755000.00,2016-12-08,,autumn
4,11357,1,1924.00,1950,1,A0,730000.00,2017-06-09,,spring
4,11691,1,1924.00,1955,1,A0,480000.00,2017-03-31,,spring
5,10306,1,1936.00,1935,1,A0,695000.00,2017-03-20,,winter
4,11427,1,1960.00,1945,1,A0,994000.00,2016-11-02,,autumn
4,11358,1,2020.00,1940,1,A0,1100000.00,2017-08-18,,summer
4,11694,1,2112.00,1955,1,A0,725000.00,2017-06-13,,spring
5,10301,1,2126.00,1953,1,A0,630000.00,2016-12-02,,autumn
4,11364,1,2178.00,1945,1,A0,1200000.00,2017-06-26,,summer
4,11365,1,2188.00,1945,1,A0,960000.00,2017-05-04,,spring
3,11210,1,2517.00,1940,1,A0,1700000.00,2017-08-08,,summer
4,11001,1,2671.00,1960,1,A0,734000.00,2017-07-31,,summer
4,11691,1,3083.00,1950,1,A0,750000.00,2017-05-08,,spring
4,11413,1,544.00,1910,1,A1,478000.00,2017-02-08,,winter
4,11433,1,560.00,1910,1,A1,205000.00,2016-12-12,,autumn
3,11229,1,616.00,1925,1,A1,425000.00,2016-11-10,,autumn
4,11414,1,622.00,1920,1,A1,371480.00,2017-06-15,,spring
5,10306,1,624.00,1975,1,A1,650000.00,2017-06-16,,spring
5,10304,1,625.00,2016,1,A1,931698.00,2016-09-30,,autumn
4,11693,1,648.00,1940,1,A1,110000.00,2017-03-30,,spring
5,10301,1,654.00,2008,1,A1,198750.00,2017-03-22,,spring
3,11229,1,666.00,1920,1,A1,350000.00,2017-05-16,,spring
4,11378,1,670.00,1910,1,A1,450000.00,2017-06-28,,summer
3,11208,1,675.00,1925,1,A1,340000.00,2016-11-30,,autumn
3,11208,1,680.00,1925,1,A1,265000.00,2017-06-14,,spring
2,10469,1,683.00,1910,1,A1,440000.00,2017-03-09,,winter
4,11414,1,700.00,1925,1,A1,210000.00,2017-06-15,,spring
5,10307,1,700.00,1930,1,A1,580000.00,2017-04-26,,spring
4,11433,1,704.00,1925,1,A1,320000.00,2017-07-27,,summer
4,11004,1,714.00,1920,1,A1,420000.00,2017-02-08,,winter
4,11420,1,730.00,1920,1,A1,445000.00,2017-08-01,,summer
3,11225,1,730.00,1915,1,A1,800000.00,2017-08-10,,summer
5,10304,1,732.00,1920,1,A1,330000.00,2017-04-17,,spring
5,10314,1,736.00,1899,1,A1,165000.00,2016-09-14,,summer
5,10302,1,740.00,1899,1,A1,240000.00,2017-04-24,,spring
4,11433,1,750.00,1910,1,A1,270000.00,2017-01-26,,winter
4,11420,1,756.00,1925,1,A1,462000.00,2017-02-07,,winter
4,11420,1,756.00,1920,1,A1,370000.00,2017-05-03,,spring
4,11436,1,756.00,1901,1,A1,385000.00,2016-11-03,,autumn
5,10304,1,760.00,2016,1,A1,870603.00,2017-03-16,,winter
5,10301,1,760.00,1940,1,A1,565000.00,2016-10-31,,autumn
2,10469,1,768.00,1948,1,A1,400000.00,2017-07-25,,summer
4,11433,1,784.00,1925,1,A1,225000.00,2016-10-28,,autumn
3,11229,1,790.00,1925,1,A1,220000.00,2017-08-02,,summer
